№;Организатор / имя;Вид деятельности;Город;Контакты (сводно);Telegram;Email;WhatsApp;Телефон;Instagram;Сайт;Событий;Статус
1;@lizunik482;Вечеринки, Игры и квизы, Йога и здоровье, Лекции;Гианьяр, Bali, Переренан, Bali, Чангу, Bali;TG: @lizunik482;@lizunik482;;;;;;8;
2;@mortemanes;Игры и квизы;Нячанг;TG: @mortemanes;@mortemanes;;;;;;6;
3;Активация Кундалини / Kundalini Activation;Выставки, Еда и напитки, Лекции, Спорт;Балиан, Bali, Печату (Улувату), Bali, Сукавати, Bali, Тибубененг, Bali, Чангу, Bali;Сайт: https://www.instagram.com;;;;;;https://www.instagram.com;5;архив
4;@restaurant_369_danang;Игры и квизы;Дананг;TG: @restaurant_369_danang;@restaurant_369_danang;;;;;;5;
5;Выставка Lucid Dreams & Repetisi Memori;Выставки;Табанан, Bali;Сайт: https://www.nuanu.com/events/lucid-dreams-repetisi-memori;;;;;;https://www.nuanu.com/events/lucid-dreams-repetisi-memori;4;
6;@alphadivebarnhatrang;Вечеринки;Нячанг;TG: @alphadivebarnhatrang;@alphadivebarnhatrang;;;;;;3;
7;@english_small_talk_nha_trang;Разговорный клуб;Нячанг;TG: @english_small_talk_nha_trang;@english_small_talk_nha_trang;;;;;;3;
8;@vik_travell;Экскурсии и туры;Нячанг;TG: @vik_travell;@vik_travell;;;;;;3;
9;Открытие выставки Sometimes, This is Reality;Выставки;Переренан, Bali;Тел: +081138308989 | IG: @lebajo_bali | Сайт: https://www.instagram.com;;;;+081138308989;@lebajo_bali;https://www.instagram.com;3;
10;Обед в Tchin Tchin Umalas;Еда и напитки;Тибубененг, Bali;IG: @tchintchin_umalas;;;;;@tchintchin_umalas;;3;
11;@bass_to_face;Концерты;Дананг;TG: @bass_to_face;@bass_to_face;;;;;;2;архив
12;@infraredfade;Киноклуб;Дананг;TG: @infraredfade;@infraredfade;;;;;;2;
13;@konstantin_pokrovskiy;Йога и здоровье;Дананг;TG: @konstantin_pokrovskiy;@konstantin_pokrovskiy;;;;;;2;
14;@yasnaya_olya;Встречи и нетворкинг;Дананг;TG: @yasnaya_olya;@yasnaya_olya;;;;;;2;
15;@yoga_club_da_nang;Йога и здоровье;Дананг;TG: @yoga_club_da_nang;@yoga_club_da_nang;;;;;;2;
16;@your_jewelery;Мастер-классы;Дананг;TG: @your_jewelery;@your_jewelery;;;;;;2;
17;Пятничная вечеринка Circa Fridays в Luigi's;Вечеринки;Кута, Bali;IG: @luigihotpizzabali;;;;;@luigihotpizzabali;;2;
18;@arturgaas;Йога и здоровье;Нячанг;TG: @arturgaas;@arturgaas;;;;;;2;
19;@melomania79;Вечеринки;Нячанг;TG: @melomania79;@melomania79;;;;;;2;
20;@nhatrang_606;Вечеринки;Нячанг;TG: @nhatrang_606;@nhatrang_606;;;;;;2;архив
21;@pt_gavrilov;Спорт;Нячанг;TG: @pt_gavrilov;@pt_gavrilov;;;;;;2;
22;@taaaaanch;Йога и здоровье;Нячанг;TG: @taaaaanch;@taaaaanch;;;;;;2;
23;@vera_yoga03;Йога и здоровье;Нячанг;TG: @vera_yoga03;@vera_yoga03;;;;;;2;
24;Соревнования по сёрфингу Rip Curl Cup 2026;Спорт;Печату (Улувату), Bali;IG: @ripcurl_indo;;;;;@ripcurl_indo;;2;
